time,EURUSD,GBPUSD,EURAUD
2018-05-09 09:00:00+00:00,1.185515,1.357715,1.58894
2018-05-09 15:00:00+00:00,1.185115,1.35449,1.58847
2018-05-09 21:00:00+00:00,1.186075,1.355785,1.588385
2018-05-10 03:00:00+00:00,1.18737,1.356255,1.587015
2018-05-10 09:00:00+00:00,1.187945,1.346665,1.584255
2018-05-10 15:00:00+00:00,1.191565,1.35194,1.58176
2018-05-10 21:00:00+00:00,1.19147,1.35276,1.582295
2018-05-11 03:00:00+00:00,1.192145,1.35295,1.57857
2018-05-11 09:00:00+00:00,1.19437,1.35528,1.58293
2018-05-11 15:00:00+00:00,1.1941,1.3539,1.58309
2018-05-13 21:00:00+00:00,1.196485,1.356925,1.583095
2018-05-14 03:00:00+00:00,1.19843,1.35874,1.58811
2018-05-14 09:00:00+00:00,1.19685,1.35937,1.584225
2018-05-14 15:00:00+00:00,1.192655,1.35551,1.584795
2018-05-14 21:00:00+00:00,1.19346,1.356325,1.58503
2018-05-15 03:00:00+00:00,1.19193,1.35369,1.587315
2018-05-15 09:00:00+00:00,1.1861,1.349475,1.586805
2018-05-15 15:00:00+00:00,1.183735,1.35072,1.58417
2018-05-15 21:00:00+00:00,1.18269,1.349795,1.583765
2018-05-16 03:00:00+00:00,1.18368,1.348905,1.581415
2018-05-16 09:00:00+00:00,1.178625,1.348295,1.570725
2018-05-16 15:00:00+00:00,1.1808,1.34866,1.57117
2018-05-16 21:00:00+00:00,1.18308,1.35622,1.56828
2018-05-17 03:00:00+00:00,1.181455,1.35308,1.569245
2018-05-17 09:00:00+00:00,1.17902,1.35038,1.568545
2018-05-17 15:00:00+00:00,1.17941,1.35164,1.5705
2018-05-17 21:00:00+00:00,1.180175,1.351245,1.571385
2018-05-18 03:00:00+00:00,1.18063,1.349915,1.571475
2018-05-18 09:00:00+00:00,1.17698,1.347495,1.56567
2018-05-18 15:00:00+00:00,1.17694,1.34677,1.56716
2018-05-20 21:00:00+00:00,1.174745,1.34325,1.56137
2018-05-21 03:00:00+00:00,1.17415,1.34023,1.560005
2018-05-21 09:00:00+00:00,1.17517,1.341015,1.55433
2018-05-21 15:00:00+00:00,1.17912,1.34249,1.555185
2018-05-21 21:00:00+00:00,1.17821,1.341885,1.554415
2018-05-22 03:00:00+00:00,1.1808,1.346385,1.554345
2018-05-22 09:00:00+00:00,1.177255,1.34213,1.551935
2018-05-22 15:00:00+00:00,1.17779,1.34296,1.55457
2018-05-22 21:00:00+00:00,1.17544,1.341035,1.557815
2018-05-23 03:00:00+00:00,1.172925,1.33639,1.55646
2018-05-23 09:00:00+00:00,1.17038,1.334075,1.550235
2018-05-23 15:00:00+00:00,1.16972,1.33469,1.54738
2018-05-23 21:00:00+00:00,1.170635,1.336015,1.547215
2018-05-24 03:00:00+00:00,1.17383,1.34074,1.55197
2018-05-24 09:00:00+00:00,1.172435,1.3379,1.549985
2018-05-24 15:00:00+00:00,1.17194,1.3379,1.546815
2018-05-24 21:00:00+00:00,1.170825,1.33704,1.547285
2018-05-25 03:00:00+00:00,1.17273,1.33738,1.545545
2018-05-25 09:00:00+00:00,1.165515,1.33158,1.543175
2018-05-25 15:00:00+00:00,1.1649,1.32963,1.5432
2018-05-27 21:00:00+00:00,1.170765,1.33194,1.547435
2018-05-28 03:00:00+00:00,1.16783,1.33229,1.543525
2018-05-28 09:00:00+00:00,1.16215,1.329835,1.5399
2018-05-28 15:00:00+00:00,1.16239,1.33124,1.5405
2018-05-28 21:00:00+00:00,1.162415,1.331745,1.543855
2018-05-29 03:00:00+00:00,1.154295,1.32323,1.534705
2018-05-29 09:00:00+00:00,1.15646,1.32731,1.538475
2018-05-29 15:00:00+00:00,1.153865,1.32546,1.53735
2018-05-29 21:00:00+00:00,1.15268,1.325035,1.538745
2018-05-30 03:00:00+00:00,1.16114,1.327455,1.541205
2018-05-30 09:00:00+00:00,1.161105,1.32749,1.536835
2018-05-30 15:00:00+00:00,1.16642,1.328295,1.539275
2018-05-30 21:00:00+00:00,1.16581,1.32968,1.54245
2018-05-31 03:00:00+00:00,1.17202,1.3334,1.54462
2018-05-31 09:00:00+00:00,1.167005,1.33077,1.542435
2018-05-31 15:00:00+00:00,1.16941,1.32962,1.54507
2018-05-31 21:00:00+00:00,1.168495,1.326965,1.5455
2018-06-01 03:00:00+00:00,1.168185,1.32948,1.548025
